latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.1592,10.4152,300.3,1.9,1.3,2020-01-01,0101,Aqua,MODIS,23,6.03,272.3,23,N,2
51.4811,6.7085,300.9,1.2,1.1,2020-01-01,1026,Terra,MODIS,0,6.03,274.5,10.6,D,2
51.3628,6.7024,307.4,1.1,1.1,2020-01-01,1212,Aqua,MODIS,49,6.03,276.8,14.9,D,2
51.4882,6.701,301.3,1.2,1.1,2020-01-01,2137,Terra,MODIS,40,6.03,274.3,11.5,N,2
52.1543,10.406,308.2,1,1,2020-01-02,0144,Aqua,MODIS,74,6.03,272.5,14.5,N,2
52.1524,10.4027,304.1,1.4,1.2,2020-01-02,2042,Terra,MODIS,59,6.03,273.9,17.2,N,2
52.1565,10.4031,317.5,1,1,2020-01-04,0131,Aqua,MODIS,95,6.03,274.8,20.7,N,2
51.4885,6.7197,302.8,1.2,1.1,2020-01-04,0132,Aqua,MODIS,51,6.03,273.9,13,N,2
51.4975,6.7454,316.2,1.2,1.1,2020-01-04,0132,Aqua,MODIS,91,6.03,275.5,24.4,N,2
51.3679,6.7157,301.1,1.2,1.1,2020-01-04,0132,Aqua,MODIS,38,6.03,270.5,12.7,N,2
51.4964,6.7398,314.9,1.2,1.1,2020-01-04,0132,Aqua,MODIS,90,6.03,275.2,23.2,N,2
51.3597,6.7092,317,1,1,2020-01-06,1231,Aqua,MODIS,73,6.03,280.6,18.7,D,2
52.1582,10.4085,300.2,1.1,1,2020-01-10,1019,Terra,MODIS,22,6.03,281.6,6.5,D,2
51.4843,6.7006,301.5,1.1,1,2020-01-10,2131,Terra,MODIS,42,6.03,275.6,10,N,2
51.3658,6.714,303.8,1.1,1,2020-01-10,2131,Terra,MODIS,57,6.03,276.8,11.6,N,2
51.4906,6.7164,300.8,1.1,1,2020-01-11,0138,Aqua,MODIS,15,6.03,276,9.4,N,2
52.1539,10.4028,301.1,1.7,1.3,2020-01-11,1102,Terra,MODIS,44,6.03,273.7,16.8,D,2
