latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
53.4036,-1.3784,303.9,1.1,1,2016-01-10,0215,Aqua,MODIS,58,6.2,272.9,12.1,N,0
51.5745,-3.7743,300.2,1.1,1,2016-01-14,1116,Terra,MODIS,24,6.2,277.6,8.6,D,2
53.5639,-0.6055,302.3,1,1,2016-01-22,2139,Terra,MODIS,48,6.2,276.4,10,N,2
53.5665,-0.5901,300.7,1,1,2016-01-22,2139,Terra,MODIS,33,6.2,277,9.1,N,2
51.5674,-3.7653,302.5,1.1,1,2016-01-30,1116,Terra,MODIS,0,6.2,279.6,8.8,D,2
53.5636,-0.5953,301.6,1.1,1.1,2016-02-01,1103,Terra,MODIS,45,6.2,282.2,8.3,D,2
51.5744,-3.7677,300.9,1.7,1.3,2016-02-03,0304,Aqua,MODIS,35,6.2,274.8,19.9,N,2
54.3739,-0.636,303.3,1.1,1,2016-02-03,1238,Aqua,MODIS,56,6.2,276.3,10.8,D,0
53.5711,-0.5892,304.2,1,1,2016-02-11,0214,Aqua,MODIS,59,6.2,272.1,12,N,0
51.568,-3.7662,301.1,1.2,1.1,2016-02-11,0215,Aqua,MODIS,37,6.2,273.6,12,N,2
53.5672,-0.5973,307.1,1,1,2016-02-15,1115,Terra,MODIS,65,6.2,276.8,11.9,D,2
53.5661,-0.5997,304.4,1,1,2016-02-24,1256,Aqua,MODIS,51,6.2,281.7,9.3,D,2
54.3706,-0.6243,308.9,1,1,2016-02-24,1257,Aqua,MODIS,68,6.2,278.7,12.9,D,0
53.5618,-0.6,312,1.1,1.1,2016-03-06,2203,Terra,MODIS,84,6.2,272.1,19.5,N,2
56.7141,-3.195,300.3,1,1,2016-03-07,1133,Terra,MODIS,33,6.2,279.5,7.2,D,0
51.5615,-3.7639,304.8,1.2,1.1,2016-03-11,1109,Terra,MODIS,0,6.2,287.2,10,D,2
51.4835,-2.1681,301.1,1,1,2016-03-11,1256,Aqua,MODIS,44,6.2,284.3,6.1,D,0
53.5631,-0.5932,305.4,1,1,2016-03-11,1256,Aqua,MODIS,61,6.2,283,8.7,D,2
51.222,0.7146,303.4,1,1,2016-03-13,1244,Aqua,MODIS,56,6.2,283.4,7.7,D,0
51.9621,0.3671,302.4,1,1,2016-03-13,1244,Aqua,MODIS,52,6.2,284.2,7.1,D,0
52.275,0.3959,303.3,1,1,2016-03-13,1244,Aqua,MODIS,56,6.2,284.6,7.4,D,0
57.2477,-2.885,302,1,1,2016-03-14,1139,Terra,MODIS,50,6.2,283.2,6.6,D,0
50.933,-1.7526,301.6,1.4,1.2,2016-03-14,1140,Terra,MODIS,48,6.2,283.3,10,D,0
50.9293,-1.7342,308.8,1.4,1.2,2016-03-14,1140,Terra,MODIS,68,6.2,283.7,17.2,D,0
52.1447,-3.904,300.6,1.2,1.1,2016-03-14,1327,Aqua,MODIS,40,6.2,278.6,7.8,D,0
51.9279,-4.8707,313.6,1.1,1.1,2016-03-14,1327,Aqua,MODIS,74,6.2,284.8,16.6,D,0
51.9261,-4.8866,310.2,1.1,1.1,2016-03-14,1327,Aqua,MODIS,70,6.2,285.8,13.5,D,0
52.1428,-3.9216,308.8,1.2,1.1,2016-03-14,1327,Aqua,MODIS,68,6.2,279.7,14.4,D,0
56.3993,-5.141,300.7,1.6,1.2,2016-03-15,1233,Aqua,MODIS,39,6.2,285.5,11.2,D,0
57.3861,-3.5784,301.1,1.3,1.1,2016-03-15,1233,Aqua,MODIS,45,6.2,285.3,8.7,D,0
55.2056,-4.3239,308.1,1.6,1.2,2016-03-15,1233,Aqua,MODIS,63,6.2,283.5,17.9,D,0
55.2104,-4.302,317.4,1.6,1.2,2016-03-15,1233,Aqua,MODIS,78,6.2,285.2,31.6,D,0
53.349,-0.9218,310.5,1.1,1,2016-03-16,1127,Terra,MODIS,70,6.2,284,12.4,D,0
53.3516,-0.9371,301.9,1.1,1,2016-03-16,1127,Terra,MODIS,50,6.2,283.9,6.4,D,0
51.4895,-2.1598,311.1,1,1,2016-03-16,1128,Terra,MODIS,45,6.2,281.3,11.9,D,0
51.5767,-3.7791,307.2,1,1,2016-03-16,1314,Aqua,MODIS,0,6.2,290.7,7.3,D,0
53.5646,-0.5965,300.5,1.3,1.1,2016-03-16,1315,Aqua,MODIS,27,6.2,283.7,7.3,D,2
54.9242,-4.3513,325.5,1.1,1,2016-03-16,1315,Aqua,MODIS,84,6.2,286.7,26.5,D,0
50.8273,-1.4184,306.5,2.4,1.5,2016-03-17,1033,Terra,MODIS,64,6.2,283.1,31.1,D,0
50.8333,-1.4251,310.7,2.4,1.5,2016-03-17,1033,Terra,MODIS,70,6.2,283,44.2,D,0
50.5833,-3.7429,302.4,2.9,1.6,2016-03-17,1219,Aqua,MODIS,52,6.2,282,33.3,D,0
51.5675,-3.762,312.9,1.1,1,2016-03-18,1116,Terra,MODIS,0,6.2,288.7,14,D,2
51.8255,-3.8932,306.1,1.1,1,2016-03-18,1116,Terra,MODIS,63,6.2,287.9,8.6,D,0
51.8163,-3.8964,303.2,1.1,1,2016-03-18,1116,Terra,MODIS,53,6.2,287.5,6.6,D,0
50.5554,-4.0538,301.3,1.1,1,2016-03-18,1116,Terra,MODIS,46,6.2,286.5,5.8,D,0
50.5572,-4.0687,326.2,1.1,1,2016-03-18,1116,Terra,MODIS,84,6.2,287.9,28.4,D,0
51.8138,-3.9016,333.7,1,1,2016-03-18,1302,Aqua,MODIS,89,6.2,290.9,34.8,D,0
50.5415,-4.0669,305,1.1,1,2016-03-18,1302,Aqua,MODIS,60,6.2,287.6,6.9,D,0
51.8204,-3.9197,318.8,1,1,2016-03-18,1302,Aqua,MODIS,79,6.2,285.9,17.3,D,0
51.565,-3.765,311.1,1,1,2016-03-18,1302,Aqua,MODIS,0,6.2,289.7,10.5,D,2
50.5505,-4.0706,308.3,1.1,1,2016-03-18,1302,Aqua,MODIS,67,6.2,288.3,9.2,D,0
51.8227,-3.905,346.5,1,1,2016-03-18,1302,Aqua,MODIS,95,6.2,291,57.7,D,0
56.5701,-3.8847,301.7,1.2,1.1,2016-03-19,1157,Terra,MODIS,48,6.2,283.1,8.7,D,0
56.0033,-3.6649,300.8,1.5,1.2,2016-03-20,1102,Terra,MODIS,36,6.2,284.6,9.3,D,0
54.0073,-2.0059,308.7,1.3,1.1,2016-03-20,1103,Terra,MODIS,67,6.2,284.6,13.8,D,0
54.0093,-2.0255,304,1.3,1.1,2016-03-20,1103,Terra,MODIS,58,6.2,285.4,9.8,D,0
53.401,-1.3778,303.6,1.2,1.1,2016-03-20,1103,Terra,MODIS,57,6.2,287.5,7.1,D,0
52.7889,-1.1241,327.5,1,1,2016-03-20,1250,Aqua,MODIS,80,6.2,287.9,26.2,D,0
53.3939,-1.3875,313.5,1,1,2016-03-20,1250,Aqua,MODIS,74,6.2,289.7,11.9,D,0
51.9825,-1.0196,301,1,1,2016-03-20,1250,Aqua,MODIS,38,6.2,284.2,5.8,D,0
53.1477,-1.4022,302.6,1,1,2016-03-20,1250,Aqua,MODIS,53,6.2,286.8,5.6,D,0
52.7866,-1.1388,319.7,1,1,2016-03-20,1250,Aqua,MODIS,75,6.2,287.9,17.6,D,0
55.5425,-3.9421,302.3,1.1,1,2016-03-20,1251,Aqua,MODIS,46,6.2,286.5,6.4,D,0
55.8584,-2.6002,301.2,1,1,2016-03-20,1251,Aqua,MODIS,30,6.2,283.5,5,D,0
56.0036,-3.6717,314.2,1,1,2016-03-20,1251,Aqua,MODIS,70,6.2,287.1,13.9,D,0
55.8496,-2.5958,313.4,1,1,2016-03-20,1251,Aqua,MODIS,74,6.2,285.8,13.8,D,0
56.0116,-3.6738,304.3,1.2,1.1,2016-03-20,2216,Terra,MODIS,59,6.2,276.3,14.3,N,0
51.0486,-3.6008,305.5,1.3,1.1,2016-03-21,1146,Terra,MODIS,61,6.2,276.4,12.6,D,0
50.9258,-3.6144,303.6,1.3,1.1,2016-03-21,1146,Terra,MODIS,54,6.2,279.6,10.2,D,0
50.6764,-3.7494,327.8,1.3,1.1,2016-03-21,1146,Terra,MODIS,81,6.2,284.6,40.9,D,0
50.6729,-3.7316,319.4,1.3,1.1,2016-03-21,1146,Terra,MODIS,71,6.2,283.7,27.5,D,0
50.543,-3.9487,351.4,1.3,1.1,2016-03-21,1333,Aqua,MODIS,84,6.2,274.4,99.6,D,0
50.5386,-3.953,337.2,1.3,1.1,2016-03-21,1333,Aqua,MODIS,64,6.2,274.3,57.9,D,0
55.703,-2.8019,311.8,1,1,2016-03-25,1121,Terra,MODIS,72,6.2,285.6,13.3,D,0
55.7051,-2.8182,303.2,1,1,2016-03-25,1121,Terra,MODIS,55,6.2,284.9,7.3,D,0
53.5675,-0.5891,305.3,1,1,2016-03-25,1121,Terra,MODIS,58,6.2,289.5,6.3,D,2
54.4488,-1.9166,300.3,1,1,2016-03-25,1121,Terra,MODIS,31,6.2,285.6,5,D,0
55.282,-1.9519,319.9,1,1,2016-03-25,1121,Terra,MODIS,80,6.2,284.6,19.8,D,0
55.8521,-2.5236,307.2,1,1,2016-03-25,1121,Terra,MODIS,65,6.2,285.2,9.7,D,0
55.8644,-2.69,303.4,1,1,2016-03-25,1121,Terra,MODIS,56,6.2,284.2,7.6,D,0
53.5699,-0.6039,306.6,1,1,2016-03-25,1121,Terra,MODIS,55,6.2,292,6.6,D,2
55.3153,-1.9218,307.7,1,1,2016-03-25,1121,Terra,MODIS,66,6.2,286.3,9.8,D,0
52.9637,0.0148,301.4,1,1,2016-03-25,1121,Terra,MODIS,40,6.2,288,3.7,D,0
51.5802,-3.7792,302.9,1,1,2016-03-25,1122,Terra,MODIS,28,6.2,287.8,4.9,D,0
52.1168,-0.0338,300.4,1.1,1,2016-03-25,1122,Terra,MODIS,36,6.2,287.1,5,D,0
53.5618,-0.6023,306.2,1.2,1.1,2016-03-25,1309,Aqua,MODIS,61,6.2,292.1,7.3,D,2
51.5649,-3.7711,307,1,1,2016-03-25,1309,Aqua,MODIS,0,6.2,290.7,8.2,D,2
54.3668,-0.7874,300.5,1.2,1.1,2016-03-25,1309,Aqua,MODIS,38,6.2,287.5,6.3,D,0
51.5643,-3.7675,306.4,1.4,1.2,2016-03-28,1152,Terra,MODIS,0,6.2,286.4,15,D,2
51.3399,1.0966,309.7,1,1,2016-03-29,1244,Aqua,MODIS,52,6.2,284.3,10.9,D,0
52.717,-2.4478,303.3,1.5,1.2,2016-03-31,1232,Aqua,MODIS,40,6.2,286.8,11.8,D,0
53.5668,-0.5997,300.5,1.1,1,2016-03-31,2157,Terra,MODIS,28,6.2,275.5,9.8,N,2
53.5678,-0.6006,301,1,1,2016-04-03,1115,Terra,MODIS,35,6.2,286,4.3,D,2
51.5641,-3.7583,303,1.4,1.2,2016-04-05,1103,Terra,MODIS,0,6.2,289.8,8,D,2
50.6896,-1.4171,307,1.1,1,2016-04-05,1250,Aqua,MODIS,65,6.2,287.9,8.8,D,0
51.4973,-1.8035,315.3,1.1,1,2016-04-05,1250,Aqua,MODIS,56,6.2,287.9,14.5,D,0
51.6691,-1.0449,301.3,1,1,2016-04-05,1250,Aqua,MODIS,46,6.2,288.9,4.5,D,0
51.1656,-1.0814,303.7,1,1,2016-04-05,1250,Aqua,MODIS,57,6.2,285.8,6.8,D,0
50.8219,-0.5562,303.5,1,1,2016-04-05,1250,Aqua,MODIS,56,6.2,289.7,5.1,D,0
53.3967,-1.3823,306.7,1.4,1.2,2016-04-06,1146,Terra,MODIS,64,6.2,281.3,14.5,D,0
53.1383,-0.1644,303.9,1,1,2016-04-10,1121,Terra,MODIS,57,6.2,284.7,7.1,D,0
52.9295,-0.094,302,1,1,2016-04-10,1121,Terra,MODIS,33,6.2,283.7,5,D,0
