latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.8046,75.0029,305.6,1.5,1.2,2006-02-15,0824,Aqua,MODIS,62,6.2,284.1,14.6,D,0
42.738,75.3182,304.4,1.1,1.1,2006-02-17,0812,Aqua,MODIS,38,6.2,290,5.9,D,0
42.9084,73.6991,300.9,1.1,1,2006-02-28,0614,Terra,MODIS,42,6.2,285.5,4.8,D,0
42.9352,74.8116,302.5,1.1,1,2006-02-28,0754,Aqua,MODIS,53,6.2,290.7,4.4,D,0
42.664,75.6095,304,1,1,2006-02-28,0754,Aqua,MODIS,44,6.2,280.9,8.7,D,0
43.0266,74.186,303.5,4.1,1.9,2006-03-01,0657,Terra,MODIS,53,6.2,284.2,39.4,D,0
43.031,74.1934,301.9,4.1,1.9,2006-03-01,0657,Terra,MODIS,43,6.2,284.3,31.5,D,0
42.9964,74.3759,307.6,2.1,1.4,2006-03-01,0837,Aqua,MODIS,65,6.2,292,15,D,0
43.0503,74.2407,308.8,2.1,1.4,2006-03-01,0837,Aqua,MODIS,65,6.2,287.1,21.7,D,0
42.9952,74.3836,306.7,2.1,1.4,2006-03-01,0837,Aqua,MODIS,50,6.2,292.1,12.9,D,0
43.0485,74.2156,310.5,2.1,1.4,2006-03-01,0837,Aqua,MODIS,70,6.2,289.7,24.4,D,0
42.7487,75.0823,302.3,3.1,1.7,2006-03-03,0645,Terra,MODIS,52,6.2,291.3,17.6,D,0
42.7507,75.0763,303.2,3.1,1.7,2006-03-03,0645,Terra,MODIS,55,6.2,291.2,20.4,D,0
42.7327,75.2629,312.8,1.6,1.2,2006-03-03,0824,Aqua,MODIS,73,6.2,295.8,14.3,D,0
42.9823,74.4283,310.1,1.4,1.2,2006-03-03,0824,Aqua,MODIS,69,6.2,295.5,9.5,D,0
43.007,74.3535,309,1.4,1.2,2006-03-03,0824,Aqua,MODIS,67,6.2,295.4,7.3,D,0
42.9954,73.8726,306.6,1.3,1.1,2006-03-03,0824,Aqua,MODIS,61,6.2,294.2,6.5,D,0
42.8504,73.5475,306.5,1.3,1.1,2006-03-03,0824,Aqua,MODIS,61,6.2,292.5,6.6,D,0
42.9878,74.2699,308.6,1.4,1.2,2006-03-03,0824,Aqua,MODIS,26,6.2,293.7,6.9,D,0
42.8521,73.5631,314.2,1.3,1.1,2006-03-03,0824,Aqua,MODIS,74,6.2,293,14.7,D,0
42.8781,73.9165,310.7,1.3,1.1,2006-03-03,0824,Aqua,MODIS,69,6.2,294.2,10.2,D,0
43.0358,74.273,308.2,1.4,1.2,2006-03-03,0824,Aqua,MODIS,32,6.2,293.9,6.4,D,0
43.0065,74.1919,314.3,1.4,1.2,2006-03-03,0824,Aqua,MODIS,74,6.2,294.9,14.3,D,0
42.9482,73.9872,315.7,1.4,1.2,2006-03-03,0824,Aqua,MODIS,75,6.2,296.5,16.5,D,0
43.0139,74.0539,308.2,1.4,1.2,2006-03-03,0824,Aqua,MODIS,65,6.2,295.5,8.2,D,0
42.7883,75.1395,309.4,1.5,1.2,2006-03-03,0824,Aqua,MODIS,68,6.2,296.5,8.6,D,0
42.7328,75.2687,310.8,1.6,1.2,2006-03-03,0824,Aqua,MODIS,65,6.2,295.7,11.1,D,0
43.0507,74.5353,306.5,1.4,1.2,2006-03-03,0824,Aqua,MODIS,54,6.2,292.6,6,D,0
42.7488,75.3178,310.6,1.6,1.2,2006-03-03,0824,Aqua,MODIS,70,6.2,295.5,11.6,D,0
43.0082,74.2089,310.1,1.4,1.2,2006-03-03,0824,Aqua,MODIS,68,6.2,292.9,8.9,D,0
43.0098,74.2258,334,1.4,1.2,2006-03-03,0824,Aqua,MODIS,89,6.2,294.4,47.2,D,0
43.0027,74.2617,313.7,1.4,1.2,2006-03-03,0824,Aqua,MODIS,65,6.2,294.3,12.5,D,0
42.8764,73.9002,316.4,1.3,1.1,2006-03-03,0824,Aqua,MODIS,76,6.2,294.9,17.2,D,0
42.8508,75.1591,303.6,2.9,1.6,2006-03-03,1613,Terra,MODIS,56,6.2,269.3,52.3,N,0
42.8499,75.1643,309.7,2.9,1.6,2006-03-03,1613,Terra,MODIS,78,6.2,269.4,67.2,N,0
42.8108,75.074,301.5,1.1,1,2006-03-04,0550,Terra,MODIS,41,6.2,282.7,4.6,D,0
42.8091,75.0871,300,1.1,1,2006-03-04,0550,Terra,MODIS,14,6.2,282.2,3.8,D,0
42.9062,73.5794,301.1,1.2,1.1,2006-03-04,0550,Terra,MODIS,44,6.2,282.7,5.7,D,0
43.0828,74.4284,310.1,1.1,1.1,2006-03-04,0550,Terra,MODIS,69,6.2,280.6,11.5,D,0
43.0673,74.0564,308.9,1.8,1.3,2006-03-05,0632,Terra,MODIS,68,6.2,292.9,12.9,D,0
43.0049,74.1719,307.7,1.9,1.3,2006-03-05,0632,Terra,MODIS,54,6.2,292.7,11,D,0
43.0088,74.1207,314,1.8,1.3,2006-03-05,0632,Terra,MODIS,65,6.2,293.4,20.9,D,0
43.0029,74.1239,311.1,1.8,1.3,2006-03-05,0632,Terra,MODIS,71,6.2,293.3,16.8,D,0
43.0627,74.0779,309.9,1.8,1.3,2006-03-05,0632,Terra,MODIS,69,6.2,292.6,14.3,D,0
42.9285,74.0879,305.7,1.8,1.3,2006-03-05,0632,Terra,MODIS,62,6.2,291.6,9.7,D,0
42.8748,73.6869,311.3,1.8,1.3,2006-03-05,0632,Terra,MODIS,71,6.2,291.4,17.4,D,0
43.055,74.3178,307.3,1.9,1.3,2006-03-05,0632,Terra,MODIS,57,6.2,292.3,10.6,D,0
43.0505,74.3095,312.2,1.9,1.3,2006-03-05,0632,Terra,MODIS,72,6.2,292.7,19.7,D,0
43.0598,74.2958,306,1.9,1.3,2006-03-05,0632,Terra,MODIS,45,6.2,292.2,8.7,D,0
42.9926,74.2858,307.6,1.9,1.3,2006-03-05,0632,Terra,MODIS,33,6.2,292.5,10.6,D,0
42.9858,74.2591,305.6,1.9,1.3,2006-03-05,0632,Terra,MODIS,40,6.2,291.5,8.1,D,0
40.8176,73.2786,305.4,1.9,1.3,2006-03-05,0633,Terra,MODIS,61,6.2,290.4,12,D,0
40.4632,72.6068,305.6,1.8,1.3,2006-03-05,0633,Terra,MODIS,61,6.2,292.6,9.8,D,0
41.1551,72.9171,309.1,1,1,2006-03-05,0812,Aqua,MODIS,51,6.2,295.6,6,D,0
43.0679,74.3355,311.5,1.1,1,2006-03-05,0812,Aqua,MODIS,58,6.2,292.6,7.7,D,0
40.7439,73.2096,307.1,1,1,2006-03-05,0812,Aqua,MODIS,51,6.2,294.5,4.3,D,0
42.8945,75.0036,314.9,1.1,1.1,2006-03-05,0812,Aqua,MODIS,74,6.2,296.8,9.4,D,0
41.1568,72.9288,307.3,1,1,2006-03-05,0812,Aqua,MODIS,36,6.2,294.6,5.3,D,0
43.1413,74.2584,308.6,1.1,1,2006-03-05,0812,Aqua,MODIS,62,6.2,294.8,4.5,D,0
42.981,74.5221,306.8,1.1,1,2006-03-05,0812,Aqua,MODIS,47,6.2,290.2,4.5,D,0
43.1397,74.2455,327.2,1.1,1,2006-03-05,0812,Aqua,MODIS,84,6.2,295.5,23,D,0
43.009,74.2322,305,2.5,1.5,2006-03-08,0843,Aqua,MODIS,53,6.2,290.1,15.2,D,0
43.0003,74.2283,304.8,2.5,1.5,2006-03-08,0843,Aqua,MODIS,51,6.2,289.5,14.9,D,0
42.9156,74.8716,302.8,1.1,1,2006-03-09,0608,Terra,MODIS,52,6.2,289.8,4.3,D,0
42.8285,75.8721,312.3,1.1,1.1,2006-03-09,0608,Terra,MODIS,72,6.2,293.4,10.8,D,0
43.1528,74.097,307.2,1,1,2006-03-09,0608,Terra,MODIS,57,6.2,288.4,6.1,D,0
42.9117,73.5619,304.5,1,1,2006-03-09,0608,Terra,MODIS,57,6.2,290.2,4.4,D,0
42.9098,73.574,304.4,1,1,2006-03-09,0608,Terra,MODIS,57,6.2,291,4.2,D,0
42.8719,73.817,302.9,1,1,2006-03-09,0608,Terra,MODIS,54,6.2,290.6,3.9,D,0
41.1966,72.2888,306.1,1,1,2006-03-09,0609,Terra,MODIS,60,6.2,291,5,D,0
42.9733,74.5463,319.2,1.2,1.1,2006-03-09,0748,Aqua,MODIS,78,6.2,294.1,18.4,D,0
42.9707,74.5317,317.8,1.2,1.1,2006-03-09,0748,Aqua,MODIS,77,6.2,295,16.8,D,0
42.9741,74.5393,327.6,1.2,1.1,2006-03-09,0748,Aqua,MODIS,84,6.2,294.8,28.6,D,0
43.0275,74.5519,316.7,1.2,1.1,2006-03-09,0748,Aqua,MODIS,57,6.2,295.4,14.3,D,0
43.0374,73.6469,309.7,1.3,1.1,2006-03-09,0748,Aqua,MODIS,65,6.2,294,9.8,D,0
43.2355,74.2117,307.9,1.2,1.1,2006-03-09,0748,Aqua,MODIS,58,6.2,294.7,6.4,D,0
42.8337,73.5614,311.4,1.4,1.2,2006-03-09,0748,Aqua,MODIS,69,6.2,291.7,13,D,0
42.8368,73.5775,309.9,1.4,1.2,2006-03-09,0748,Aqua,MODIS,67,6.2,292.2,11.3,D,0
43.0242,74.0241,306.7,1.3,1.1,2006-03-09,0748,Aqua,MODIS,51,6.2,293.4,6.3,D,0
43.0187,74.3237,317.3,1.7,1.3,2006-03-10,0831,Aqua,MODIS,74,6.2,295.1,28.7,D,0
43.0134,73.6127,306.2,1.6,1.2,2006-03-10,0831,Aqua,MODIS,52,6.2,286.1,7.7,D,0
42.8347,75.886,312.3,2.1,1.4,2006-03-10,0831,Aqua,MODIS,71,6.2,297.3,20,D,0
42.7529,74.7732,317,1,1,2006-03-11,0556,Terra,MODIS,74,6.2,294.8,11.8,D,0
42.6723,74.2829,310.9,1,1,2006-03-11,0556,Terra,MODIS,42,6.2,294.1,8,D,0
42.8427,75.8866,320.6,1,1,2006-03-11,0556,Terra,MODIS,65,6.2,296.7,13.3,D,0
42.8445,75.8746,374.9,1,1,2006-03-11,0556,Terra,MODIS,100,6.2,302.4,129.1,D,0
42.8462,75.8626,341.4,1,1,2006-03-11,0556,Terra,MODIS,92,6.2,293.2,40.5,D,0
42.7512,74.7853,315.2,1,1,2006-03-11,0556,Terra,MODIS,72,6.2,293.9,10.2,D,0
42.8176,73.7348,311.6,1.1,1,2006-03-11,0556,Terra,MODIS,65,6.2,292.7,8.2,D,0
42.7439,74.7713,333.4,1,1,2006-03-11,0556,Terra,MODIS,87,6.2,294.3,29.1,D,0
42.9139,74.8756,309,1,1,2006-03-11,0556,Terra,MODIS,58,6.2,296.1,4.6,D,0
42.7422,74.7832,333.7,1,1,2006-03-11,0556,Terra,MODIS,88,6.2,297.6,29.5,D,0
43.0055,74.4768,318.8,1,1,2006-03-11,0556,Terra,MODIS,74,6.2,296,13.1,D,0
42.7287,74.1412,302.8,1,1,2006-03-11,0556,Terra,MODIS,31,6.2,291.1,2.6,D,0
42.727,74.1538,313.1,1,1,2006-03-11,0556,Terra,MODIS,72,6.2,292.3,9.9,D,0
42.7189,74.0739,342.6,1,1,2006-03-11,0556,Terra,MODIS,93,6.2,295.7,46.7,D,0
42.7098,74.0719,314.9,1,1,2006-03-11,0556,Terra,MODIS,74,6.2,297.6,9.8,D,0
42.6413,75.3662,327.7,1,1,2006-03-11,0556,Terra,MODIS,85,6.2,300.8,22,D,0
42.7233,73.6806,311.6,1.1,1,2006-03-11,0556,Terra,MODIS,68,6.2,299,6.9,D,0
42.643,75.3542,315.2,1,1,2006-03-11,0556,Terra,MODIS,66,6.2,294.5,10.1,D,0
42.7499,75.1244,315.5,1,1,2006-03-11,0556,Terra,MODIS,73,6.2,295,10,D,0
42.919,74.2949,306.5,1,1,2006-03-11,0556,Terra,MODIS,45,6.2,292.2,4.3,D,0
42.887,73.6902,306.9,1.1,1,2006-03-11,0556,Terra,MODIS,43,6.2,295.1,4.1,D,0
42.9192,74.7057,311,1,1,2006-03-11,0556,Terra,MODIS,62,6.2,297.8,6.4,D,0
42.8139,74.8001,310.5,1,1,2006-03-11,0556,Terra,MODIS,65,6.2,296.3,5.8,D,0
42.8356,75.8722,320,1,1,2006-03-11,0556,Terra,MODIS,73,6.2,296,13.3,D,0
42.8362,75.8582,317.4,1.5,1.2,2006-03-11,0735,Aqua,MODIS,78,6.2,298.3,17.3,D,0
42.7058,74.0744,320.8,1.9,1.3,2006-03-11,0735,Aqua,MODIS,79,6.2,297.3,35.2,D,0
42.7265,74.1121,364.1,1.9,1.3,2006-03-11,0735,Aqua,MODIS,100,6.2,298.5,229.6,D,0
42.7574,74.4746,307.8,1.8,1.3,2006-03-11,0735,Aqua,MODIS,55,6.2,296.1,9.4,D,0
42.7173,74.0693,331.8,1.9,1.3,2006-03-11,0735,Aqua,MODIS,87,6.2,296.7,65.3,D,0
42.8241,75.2608,313.9,1.6,1.2,2006-03-11,0735,Aqua,MODIS,52,6.2,298.3,12.1,D,0
42.8275,75.2749,314.1,1.6,1.2,2006-03-11,0735,Aqua,MODIS,74,6.2,298.8,13.2,D,0
42.8236,75.256,312,1.6,1.2,2006-03-11,0735,Aqua,MODIS,71,6.2,298,10.7,D,0
42.9277,74.6772,313.3,1.7,1.3,2006-03-11,0735,Aqua,MODIS,61,6.2,297.4,15.2,D,0
42.8397,75.876,324.7,1.5,1.2,2006-03-11,0735,Aqua,MODIS,83,6.2,301.1,31,D,0
42.7537,74.4703,312.2,1.8,1.3,2006-03-11,0735,Aqua,MODIS,70,6.2,295.6,17.3,D,0
42.6782,75.4096,311.7,1.6,1.2,2006-03-11,0735,Aqua,MODIS,72,6.2,296.4,14.1,D,0
42.8946,73.582,312.4,2,1.4,2006-03-11,0736,Aqua,MODIS,66,6.2,300.5,15.9,D,0
42.9563,73.9238,310.5,1.9,1.3,2006-03-11,0736,Aqua,MODIS,62,6.2,299.1,13.2,D,0
42.9909,73.9095,312.9,1.9,1.3,2006-03-11,0736,Aqua,MODIS,67,6.2,298,18.2,D,0
42.8262,73.6404,312.9,2,1.4,2006-03-11,0736,Aqua,MODIS,68,6.2,298.3,18.9,D,0
42.7048,74.982,304.5,1,1,2006-03-11,1702,Terra,MODIS,60,6.2,275.2,11.1,N,0
42.7196,74.0988,304.9,1,1,2006-03-11,2112,Aqua,MODIS,62,6.2,276.8,11.4,N,0
42.9909,73.8332,309.1,2.2,1.4,2006-03-12,0639,Terra,MODIS,64,6.2,285.3,23.8,D,0
42.7035,74.0785,314.5,2.3,1.5,2006-03-12,0639,Terra,MODIS,75,6.2,285.6,39.9,D,0
42.6909,74.0736,315,2.3,1.5,2006-03-12,0639,Terra,MODIS,72,6.2,284.9,42,D,0
42.9862,73.8523,338,2.2,1.4,2006-03-12,0639,Terra,MODIS,91,6.2,285.9,123.2,D,0
42.9187,73.5738,316.1,1.1,1.1,2006-03-12,0818,Aqua,MODIS,70,6.2,297.3,10.2,D,0
43.0377,74.3422,309.1,1.2,1.1,2006-03-12,0818,Aqua,MODIS,65,6.2,292.5,6.3,D,0
43.0361,74.3276,309.8,1.2,1.1,2006-03-12,0818,Aqua,MODIS,63,6.2,293,7.4,D,0
42.9136,74.8688,301.2,1.3,1.1,2006-03-12,0818,Aqua,MODIS,37,6.2,281.9,4.2,D,0
42.8705,74.2944,307.8,1.2,1.1,2006-03-12,0818,Aqua,MODIS,65,6.2,285.5,8.1,D,0
42.885,74.2473,306.1,1.2,1.1,2006-03-12,0818,Aqua,MODIS,47,6.2,286.7,6.1,D,0
42.8834,74.2329,312.4,1.2,1.1,2006-03-12,0818,Aqua,MODIS,72,6.2,289.7,11.6,D,0
42.9809,74.2796,303.9,1.2,1.1,2006-03-12,0818,Aqua,MODIS,34,6.2,282.4,5,D,0
43.1425,74.466,308.5,1.2,1.1,2006-03-12,0818,Aqua,MODIS,62,6.2,286.9,7.5,D,0
42.7324,74.8828,308.5,1.3,1.1,2006-03-12,0818,Aqua,MODIS,67,6.2,276.4,11.6,D,0
42.8659,73.6621,331.3,1.1,1.1,2006-03-12,0818,Aqua,MODIS,87,6.2,295.4,30.2,D,0
42.8643,73.6485,325.9,1.1,1.1,2006-03-12,0818,Aqua,MODIS,83,6.2,297.1,21.6,D,0
42.9034,73.6893,311.1,1.1,1.1,2006-03-12,0818,Aqua,MODIS,66,6.2,295.4,5.8,D,0
42.9207,73.6715,309.9,1.1,1.1,2006-03-12,0818,Aqua,MODIS,53,6.2,294.3,4.6,D,0
42.9171,73.5602,312.4,1.1,1.1,2006-03-12,0818,Aqua,MODIS,66,6.2,294.6,6.7,D,0
43.1126,74.1135,316.9,1.4,1.2,2006-03-13,0544,Terra,MODIS,76,6.2,290.1,19.4,D,0
42.9109,74.1983,324.8,1.3,1.1,2006-03-13,0544,Terra,MODIS,83,6.2,290.6,32.4,D,0
42.8061,75.4134,310.7,1.2,1.1,2006-03-13,0544,Terra,MODIS,69,6.2,290.7,9.7,D,0
42.852,75.0173,305.6,1.2,1.1,2006-03-13,0544,Terra,MODIS,59,6.2,289.9,5.2,D,0
42.9839,73.8018,314.9,1.4,1.2,2006-03-13,0544,Terra,MODIS,74,6.2,289.4,19.1,D,0
42.9091,74.2147,309.3,1.3,1.1,2006-03-13,0544,Terra,MODIS,67,6.2,289.2,11.1,D,0
42.8158,73.609,304.2,1.2,1.1,2006-03-20,0550,Terra,MODIS,52,6.2,290.5,5,D,0
42.815,73.6029,305.4,1.2,1.1,2006-03-20,0550,Terra,MODIS,50,6.2,291.4,5.7,D,0
42.8846,74.2313,324.3,1.1,1.1,2006-03-20,0550,Terra,MODIS,83,6.2,292.9,24.4,D,0
42.9247,73.8141,308.1,2.3,1.5,2006-03-20,0730,Aqua,MODIS,64,6.2,292,18.7,D,0
42.9373,73.8084,306.4,2.3,1.5,2006-03-20,0730,Aqua,MODIS,48,6.2,292.9,14.6,D,0
42.8355,73.5502,305,2.4,1.5,2006-03-20,0730,Aqua,MODIS,56,6.2,291.5,15,D,0
42.9724,74.1761,311.5,1.9,1.3,2006-03-21,0633,Terra,MODIS,68,6.2,296.6,13.8,D,0
42.7681,74.2731,304.7,1.9,1.3,2006-03-21,0633,Terra,MODIS,48,6.2,290.6,8.3,D,0
42.9441,73.7148,315.9,1,1,2006-03-21,0812,Aqua,MODIS,72,6.2,299.1,7.4,D,0
42.917,73.7214,313.9,1,1,2006-03-21,0812,Aqua,MODIS,67,6.2,298.9,6.2,D,0
43.0305,73.7385,334.7,1,1,2006-03-21,0812,Aqua,MODIS,88,6.2,293.5,30.6,D,0
42.7355,74.3014,316.5,1.1,1,2006-03-21,0812,Aqua,MODIS,74,6.2,295.6,11.2,D,0
43.0873,73.9588,315.5,1,1,2006-03-21,0812,Aqua,MODIS,70,6.2,293.5,9.6,D,0
43.0889,73.9715,313.3,1,1,2006-03-21,0812,Aqua,MODIS,66,6.2,294,7.5,D,0
43.014,74.0356,306.6,1,1,2006-03-21,0812,Aqua,MODIS,36,6.2,288.5,2.7,D,0
42.774,74.5318,312,1.1,1,2006-03-21,0812,Aqua,MODIS,69,6.2,294.8,7.4,D,0
42.7382,76.0239,310.9,1.2,1.1,2006-03-21,0812,Aqua,MODIS,47,6.2,296.4,11.6,D,0
42.8341,73.7858,304.9,1,1,2006-03-21,0812,Aqua,MODIS,23,6.2,289.6,2.8,D,0
42.9024,74.3178,320.6,1.1,1,2006-03-21,0812,Aqua,MODIS,78,6.2,296.2,14.5,D,0
42.7596,74.2696,309.4,1.1,1,2006-03-21,0812,Aqua,MODIS,59,6.2,296.3,4.3,D,0
42.9788,74.7026,317.8,1.1,1,2006-03-21,0812,Aqua,MODIS,75,6.2,295.1,11.5,D,0
42.9633,74.1527,319,1.1,1,2006-03-21,0812,Aqua,MODIS,75,6.2,299.9,10.6,D,0
43.1204,74.0899,315.1,1.1,1,2006-03-21,0812,Aqua,MODIS,69,6.2,294.7,9.5,D,0
41.6035,71.821,306.2,1.2,1.1,2006-03-23,0800,Aqua,MODIS,63,6.2,294.7,5.9,D,0
42.5891,71.8377,319.2,1,1,2006-03-25,0608,Terra,MODIS,76,6.2,298.9,12.2,D,0
42.6785,78.8791,325.2,1.6,1.2,2006-03-25,0608,Terra,MODIS,73,6.2,295.4,40.6,D,0
42.6823,78.8605,318.2,1.6,1.2,2006-03-25,0608,Terra,MODIS,51,6.2,295.3,26,D,0
42.932,73.5882,306.5,1,1,2006-03-25,0608,Terra,MODIS,51,6.2,294.4,4,D,0
40.873,73.3497,309.7,1,1,2006-03-25,0609,Terra,MODIS,58,6.2,296.6,4.6,D,0
40.9612,73.3831,338.5,1.5,1.2,2006-03-25,0747,Aqua,MODIS,91,6.2,295.1,69.7,D,0
42.3976,77.9254,310.2,1,1,2006-03-25,0748,Aqua,MODIS,61,6.2,296.2,4.6,D,0
42.3994,77.9375,349.3,1,1,2006-03-25,0748,Aqua,MODIS,95,6.2,298.5,56.6,D,0
41.5702,71.7276,302.4,1.2,1.1,2006-03-26,0830,Aqua,MODIS,52,6.2,281.7,3.4,D,0
43.0486,73.6318,313.2,1.6,1.2,2006-03-26,0831,Aqua,MODIS,72,6.2,277.6,20,D,0
42.853,73.8518,306.4,1.6,1.2,2006-03-26,0831,Aqua,MODIS,46,6.2,286.3,8.2,D,0
42.8618,73.8377,305.9,1.6,1.2,2006-03-26,0831,Aqua,MODIS,32,6.2,287.1,7.2,D,0
42.863,75.9946,346.5,2.1,1.4,2006-03-26,0831,Aqua,MODIS,89,6.2,273.9,167.8,D,0
42.8612,75.9703,364.3,2.1,1.4,2006-03-26,0831,Aqua,MODIS,100,6.2,282.4,293.5,D,0
42.8641,75.9875,364,2.1,1.4,2006-03-26,0831,Aqua,MODIS,100,6.2,277.5,293.8,D,0
42.8624,75.9628,341.5,2.1,1.4,2006-03-26,0831,Aqua,MODIS,92,6.2,281.3,138,D,0
43.0042,74.1656,307.4,1.7,1.3,2006-03-26,0831,Aqua,MODIS,63,6.2,283.5,11.1,D,0
42.9514,73.6937,305.7,1.6,1.2,2006-03-26,0831,Aqua,MODIS,59,6.2,285.1,5.8,D,0
43.1249,74.1175,333.5,1,1,2006-03-27,0556,Terra,MODIS,86,6.2,297.8,29,D,0
42.7005,74.1302,317.6,1,1,2006-03-27,0556,Terra,MODIS,76,6.2,290,14,D,0
42.7021,74.1175,306.2,1,1,2006-03-27,0556,Terra,MODIS,55,6.2,292,4.6,D,0
42.6895,74.282,310.9,1,1,2006-03-27,0556,Terra,MODIS,67,6.2,291.7,7.5,D,0
42.5728,71.6662,312.3,1.3,1.1,2006-03-27,0556,Terra,MODIS,64,6.2,297.2,7.7,D,0
42.6743,75.4501,310.6,1,1,2006-03-27,0556,Terra,MODIS,63,6.2,291.2,7.1,D,0
42.7742,75.1379,312,1,1,2006-03-27,0556,Terra,MODIS,65,6.2,293.3,6.8,D,0
42.7362,75.6596,307.1,1,1,2006-03-27,0556,Terra,MODIS,43,6.2,292.7,4.2,D,0
42.9507,73.8341,309.4,1.9,1.3,2006-03-27,0736,Aqua,MODIS,53,6.2,296.1,9.8,D,0
42.7047,74.9462,305.9,1.7,1.3,2006-03-27,0736,Aqua,MODIS,61,6.2,287.6,9.9,D,0
42.6767,75.803,311.5,1.5,1.2,2006-03-27,0736,Aqua,MODIS,58,6.2,289.9,15.3,D,0
42.9466,73.8402,310.6,1.9,1.3,2006-03-27,0736,Aqua,MODIS,60,6.2,295.8,11.3,D,0
42.6962,74.1154,304.3,1.9,1.3,2006-03-27,0736,Aqua,MODIS,36,6.2,289.4,7.7,D,0
42.7064,74.9524,303.8,1.7,1.3,2006-03-27,0736,Aqua,MODIS,46,6.2,287.5,6.4,D,0
43.2238,74.2456,312.2,2.3,1.5,2006-03-28,0639,Terra,MODIS,72,6.2,290.2,26.3,D,0
41.6699,71.8751,322.7,1.8,1.3,2006-03-28,0639,Terra,MODIS,77,6.2,291.6,38.4,D,0
42.6649,75.1597,312,1.3,1.1,2006-03-28,0818,Aqua,MODIS,59,6.2,291,10.1,D,0
40.8013,73.3017,310.8,1.1,1,2006-03-28,0818,Aqua,MODIS,56,6.2,296.2,5,D,0
42.7039,75.6522,303.7,1,1,2006-03-30,0806,Aqua,MODIS,57,6.2,285.5,4.8,D,0
42.7055,75.6646,304.4,1,1,2006-03-30,0806,Aqua,MODIS,59,6.2,285.6,5.4,D,0
42.9141,74.8742,304.5,1,1,2006-04-03,0602,Terra,MODIS,57,6.2,292.8,4.3,D,0
40.9316,73.5286,308.4,1,1,2006-04-03,0603,Terra,MODIS,28,6.2,293,5.8,D,0
40.9405,73.5308,309.5,1,1,2006-04-03,0603,Terra,MODIS,31,6.2,295.8,6.9,D,0
40.5773,73.4091,312,1.2,1.1,2006-04-04,0824,Aqua,MODIS,26,6.2,299.2,7,D,0
41.0968,73.4142,315.3,1.2,1.1,2006-04-04,0824,Aqua,MODIS,60,6.2,298.5,12.4,D,0
40.8595,73.3103,312.6,1.2,1.1,2006-04-04,0824,Aqua,MODIS,44,6.2,301.7,5.5,D,0
42.6921,75.4853,314.5,1.6,1.2,2006-04-04,0825,Aqua,MODIS,72,6.2,296,17.5,D,0
42.7121,74.3,302.7,1.1,1.1,2006-04-05,0550,Terra,MODIS,46,6.2,282,4.5,D,0
43.1545,74.1064,310.2,1.2,1.1,2006-04-05,0550,Terra,MODIS,62,6.2,290.3,7.8,D,0
42.7504,76.1975,316,1,1,2006-04-05,0550,Terra,MODIS,53,6.2,293.1,12.1,D,0
40.809,73.4404,309.6,1.2,1.1,2006-04-05,0551,Terra,MODIS,64,6.2,288.4,7,D,0
42.6749,78.5015,315,1.1,1.1,2006-04-08,0800,Aqua,MODIS,65,6.2,298.2,9.3,D,0
42.6593,74.9781,302.8,1,1,2006-04-08,0800,Aqua,MODIS,11,6.2,277,4.5,D,0
42.6954,74.1267,301.2,1,1,2006-04-08,0800,Aqua,MODIS,44,6.2,274.1,3.7,D,0
42.8321,73.7024,310,1,1,2006-04-08,0800,Aqua,MODIS,63,6.2,282.8,8.1,D,0
42.8301,73.6899,306.2,1,1,2006-04-08,0800,Aqua,MODIS,51,6.2,282.1,5.5,D,0
42.4903,79.3817,308.5,1.2,1.1,2006-04-08,0800,Aqua,MODIS,11,6.2,281.9,8,D,0
41.2962,75.8657,304.5,1,1,2006-04-12,0556,Terra,MODIS,47,6.2,288.1,2.9,D,0
42.9104,74.8729,306.7,1,1,2006-04-12,0556,Terra,MODIS,52,6.2,293.4,4.9,D,0
42.7169,78.4022,311.6,1.2,1.1,2006-04-12,0735,Aqua,MODIS,55,6.2,297.1,7.2,D,0
40.6143,73.4146,311.2,1.1,1,2006-04-13,0818,Aqua,MODIS,36,6.2,298,6,D,0
41.8352,73.4769,321.9,1.1,1,2006-04-13,0818,Aqua,MODIS,76,6.2,301.6,14.6,D,0
40.6085,73.4212,310.5,1.1,1,2006-04-13,0818,Aqua,MODIS,45,6.2,295.9,4.4,D,0
42.0184,72.5344,314.2,1,1,2006-04-13,0818,Aqua,MODIS,57,6.2,299.1,5.9,D,0
43.029,74.1915,311.6,1.2,1.1,2006-04-13,0819,Aqua,MODIS,58,6.2,299,5,D,0
41.6603,75.8822,322.7,1.1,1,2006-04-14,0544,Terra,MODIS,65,6.2,299.1,16.5,D,0
40.8817,73.4341,311.4,1.4,1.2,2006-04-14,0544,Terra,MODIS,62,6.2,296.9,8.1,D,0
41.9055,73.5363,318,1.4,1.2,2006-04-14,0544,Terra,MODIS,73,6.2,299.1,15.1,D,0
41.3336,73.9704,324.8,1.3,1.1,2006-04-14,0544,Terra,MODIS,81,6.2,299.3,22.9,D,0
42.6441,76.3959,316.7,1.1,1,2006-04-14,0544,Terra,MODIS,45,6.2,301.1,8.9,D,0
41.1094,73.4049,309.6,1.4,1.2,2006-04-14,0544,Terra,MODIS,54,6.2,295.2,7.9,D,0
