latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.3706,-16.4951,321.9,1.1,1,2006-01-01,0253,Aqua,MODIS,91,6.2,293.1,0,N,0
13.4308,-14.2826,319.2,1.1,1.1,2006-01-02,1125,Terra,MODIS,64,6.2,306.9,8.2,D,0
13.4214,-14.2839,338.3,1.1,1.1,2006-01-02,1125,Terra,MODIS,88,6.2,305.8,35.3,D,0
13.4228,-14.2941,341,1.1,1.1,2006-01-02,1125,Terra,MODIS,89,6.2,305.1,41,D,0
13.4039,-14.3055,328.8,1.1,1,2006-01-02,1426,Aqua,MODIS,59,6.2,307.9,14.4,D,0
13.4235,-14.2986,333,1.1,1,2006-01-02,1426,Aqua,MODIS,76,6.2,312.7,18.6,D,0
13.4249,-14.2889,328.7,1.1,1,2006-01-02,1426,Aqua,MODIS,63,6.2,314,12.3,D,0
13.4157,-14.2876,332.5,1.1,1,2006-01-02,1426,Aqua,MODIS,78,6.2,312,17.3,D,0
13.5173,-15.7168,333,1,1,2006-01-02,1427,Aqua,MODIS,68,6.2,309.7,20.9,D,0
13.3542,-16.3377,323.4,1,1,2006-01-02,1427,Aqua,MODIS,45,6.2,307.8,10.5,D,0
13.3775,-15.8436,320,2.5,1.5,2006-01-03,1208,Terra,MODIS,70,6.2,301.4,43.8,D,0
13.3306,-14.4446,316.1,3.2,1.7,2006-01-03,1208,Terra,MODIS,55,6.2,303.7,36.3,D,0
13.3275,-14.4209,314.7,3.2,1.7,2006-01-03,1208,Terra,MODIS,36,6.2,302.8,27.7,D,0
13.3814,-15.8661,321.6,2.5,1.5,2006-01-03,1208,Terra,MODIS,73,6.2,300.9,51.1,D,0
13.3756,-15.8616,322.4,2.5,1.5,2006-01-03,1208,Terra,MODIS,73,6.2,300.8,53.8,D,0
13.363,-15.8728,314.7,4.6,2,2006-01-03,1509,Aqua,MODIS,62,6.2,302.4,53.5,D,0
13.3642,-15.8811,314.9,4.6,2,2006-01-03,1509,Aqua,MODIS,62,6.2,302.2,55.5,D,0
13.4911,-14.1061,327.2,1.7,1.3,2006-01-04,1113,Terra,MODIS,63,6.2,305.3,31.5,D,0
13.442,-15.5618,317.6,2.2,1.4,2006-01-04,1113,Terra,MODIS,52,6.2,301.8,25.7,D,0
13.5025,-14.1047,325.3,1.7,1.3,2006-01-04,1113,Terra,MODIS,52,6.2,305.6,27.4,D,0
13.5214,-14.0805,324.9,1.7,1.3,2006-01-04,1113,Terra,MODIS,37,6.2,305.3,24.6,D,0
13.4105,-15.6271,322.5,1.2,1.1,2006-01-04,1414,Aqua,MODIS,34,6.2,309.9,13.6,D,0
13.4936,-14.1311,326.9,1.1,1,2006-01-04,1414,Aqua,MODIS,35,6.2,309.9,12.5,D,0
13.483,-14.1393,327.7,1.1,1,2006-01-04,1414,Aqua,MODIS,57,6.2,306,14.5,D,0
13.4844,-14.1297,328.9,1.1,1,2006-01-04,1414,Aqua,MODIS,21,6.2,308.7,14.4,D,0
13.4902,-14.0911,328.1,1.1,1,2006-01-04,1414,Aqua,MODIS,30,6.2,310.7,9.2,D,0
13.4916,-14.0815,346.4,1.1,1,2006-01-04,1414,Aqua,MODIS,91,6.2,311.6,40.5,D,0
13.493,-14.0718,361,1.1,1,2006-01-04,1414,Aqua,MODIS,100,6.2,316,77,D,0
13.5263,-14.0935,328,1.1,1,2006-01-04,1414,Aqua,MODIS,55,6.2,313.4,14.3,D,0
13.3958,-14.2992,329.4,1.1,1,2006-01-04,1414,Aqua,MODIS,73,6.2,311.7,15.5,D,0
13.3693,-15.3135,317.4,1.6,1.2,2006-01-05,1156,Terra,MODIS,46,6.2,304.9,9.8,D,0
13.3867,-15.6913,317.7,2.8,1.6,2006-01-05,1457,Aqua,MODIS,37,6.2,299.7,23.5,D,0
13.3838,-15.7166,331.4,2.7,1.6,2006-01-05,1457,Aqua,MODIS,81,6.2,299.6,90.7,D,0
13.4009,-15.693,315.4,2.8,1.6,2006-01-05,1457,Aqua,MODIS,20,6.2,300.7,18.6,D,0
13.6011,-14.8446,320.6,3.2,1.7,2006-01-05,1457,Aqua,MODIS,28,6.2,302.5,38.9,D,0
13.398,-15.7183,318.7,2.7,1.6,2006-01-05,1457,Aqua,MODIS,61,6.2,299.7,31.4,D,0
13.2841,-14.229,332.1,1.2,1.1,2006-01-07,1143,Terra,MODIS,86,6.2,287.3,35.3,D,0
13.2513,-14.3334,317.8,1.2,1.1,2006-01-07,1143,Terra,MODIS,73,6.2,293.5,12.6,D,0
13.2824,-14.2182,320.8,1.2,1.1,2006-01-07,1143,Terra,MODIS,77,6.2,285,18,D,0
13.2609,-14.3319,316.7,1.2,1.1,2006-01-07,1143,Terra,MODIS,68,6.2,292.1,11.5,D,0
13.2597,-14.2346,333.4,2,1.4,2006-01-07,1445,Aqua,MODIS,84,6.2,307.3,57.8,D,0
13.2722,-14.2361,332.9,2,1.4,2006-01-07,1445,Aqua,MODIS,83,6.2,309.2,54,D,0
13.2699,-14.2548,324.9,2,1.4,2006-01-07,1445,Aqua,MODIS,53,6.2,308.7,24.3,D,0
13.2749,-14.2436,326.3,2,1.4,2006-01-07,1445,Aqua,MODIS,50,6.2,309.2,28.3,D,0
13.3152,-16.6868,323.5,1.4,1.2,2006-01-07,1445,Aqua,MODIS,71,6.2,307.1,17.8,D,0
13.2574,-14.2532,323.4,2,1.4,2006-01-07,1445,Aqua,MODIS,46,6.2,307,22.7,D,0
13.2461,-14.3456,325.2,2,1.4,2006-01-07,1445,Aqua,MODIS,75,6.2,308.8,30.1,D,0
13.6669,-14.8493,304.2,1,1,2006-01-08,2317,Terra,MODIS,16,6.2,286.2,6.7,N,0
13.6759,-14.8507,317.1,1,1,2006-01-08,2317,Terra,MODIS,84,6.2,288.9,15.7,N,0
13.6843,-14.8579,302.7,1,1,2006-01-08,2317,Terra,MODIS,33,6.2,288.8,5.9,N,0
13.4035,-15.6847,322.6,1.1,1,2006-01-09,1131,Terra,MODIS,73,6.2,301.8,14.4,D,0
13.6845,-14.8728,321.7,1,1,2006-01-09,1131,Terra,MODIS,38,6.2,306,9.4,D,0
13.679,-14.8349,320.6,1,1,2006-01-09,1131,Terra,MODIS,61,6.2,305.6,8.6,D,0
13.2632,-14.3157,318.4,1,1,2006-01-09,1131,Terra,MODIS,66,6.2,301.1,7.5,D,0
13.2619,-14.3065,331.1,1,1,2006-01-09,1131,Terra,MODIS,83,6.2,303.2,21.7,D,0
13.5635,-14.5289,343.8,1.2,1.1,2006-01-09,1433,Aqua,MODIS,90,6.2,305.4,48.9,D,0
13.2564,-14.3022,320.2,1.2,1.1,2006-01-09,1433,Aqua,MODIS,23,6.2,302.7,6.9,D,0
13.2549,-14.3135,326.7,1.2,1.1,2006-01-09,1433,Aqua,MODIS,75,6.2,305.7,17.1,D,0
13.2534,-14.3247,323.9,1.2,1.1,2006-01-09,1433,Aqua,MODIS,66,6.2,303.6,12.6,D,0
13.562,-14.5399,321.4,1.2,1.1,2006-01-09,1433,Aqua,MODIS,35,6.2,303.7,8.1,D,0
13.3998,-15.6837,319.5,1.1,1,2006-01-09,1433,Aqua,MODIS,57,6.2,297.4,9.1,D,0
13.5537,-14.5275,322.9,1.2,1.1,2006-01-09,1433,Aqua,MODIS,48,6.2,303.8,11.3,D,0
13.3123,-16.149,315.9,3.1,1.7,2006-01-10,1214,Terra,MODIS,58,6.2,295.5,44.6,D,0
13.3025,-16.1794,325.9,3.1,1.7,2006-01-10,1214,Terra,MODIS,54,6.2,296.4,88.7,D,0
13.5437,-15.73,317.1,3.3,1.7,2006-01-10,1214,Terra,MODIS,43,6.2,297.4,41.4,D,0
13.5406,-15.7252,322.7,3.3,1.7,2006-01-10,1214,Terra,MODIS,73,6.2,297.6,72.6,D,0
13.3173,-16.1767,322.4,3.1,1.7,2006-01-10,1214,Terra,MODIS,58,6.2,296,76.5,D,0
13.1771,-15.8805,333.5,1.8,1.3,2006-01-11,1119,Terra,MODIS,87,6.2,296.4,55.2,D,0
13.1634,-15.866,342.4,1.7,1.3,2006-01-11,1119,Terra,MODIS,92,6.2,299.4,84.4,D,0
13.5489,-15.7425,320.2,1.7,1.3,2006-01-11,1119,Terra,MODIS,48,6.2,297.6,23.1,D,0
13.1653,-15.8564,332.3,1.7,1.3,2006-01-11,1119,Terra,MODIS,86,6.2,300.5,44.1,D,0
13.5605,-15.741,354.8,1.7,1.3,2006-01-11,1119,Terra,MODIS,97,6.2,298.6,145.9,D,0
13.409,-15.3625,307,1.6,1.3,2006-01-11,1119,Terra,MODIS,22,6.2,283.5,13.4,D,0
13.4071,-15.3475,310.5,1.6,1.2,2006-01-11,1119,Terra,MODIS,54,6.2,279.8,18.6,D,0
13.1751,-15.8645,359.9,1.7,1.3,2006-01-11,1119,Terra,MODIS,99,6.2,299.8,171.7,D,0
13.1731,-15.8485,328.5,1.7,1.3,2006-01-11,1119,Terra,MODIS,70,6.2,299.5,38.1,D,0
13.1654,-15.882,321.4,1.8,1.3,2006-01-11,1119,Terra,MODIS,50,6.2,298.3,21.5,D,0
13.1674,-15.8723,365,1.7,1.3,2006-01-11,1119,Terra,MODIS,100,6.2,300.1,199.4,D,0
13.4157,-14.6666,320.4,2.5,1.5,2006-01-13,1106,Terra,MODIS,68,6.2,297.1,39.8,D,0
13.3768,-15.7704,318.1,3,1.6,2006-01-13,1106,Terra,MODIS,65,6.2,296.2,46.8,D,0
13.3916,-15.7687,327.4,3,1.6,2006-01-13,1106,Terra,MODIS,79,6.2,297.3,94.7,D,0
13.3913,-15.7844,326.8,1.6,1.2,2006-01-13,1408,Aqua,MODIS,42,6.2,305.6,22.4,D,0
13.3664,-15.7884,340.1,1.6,1.2,2006-01-13,1408,Aqua,MODIS,87,6.2,303.8,63.3,D,0
13.3691,-15.7806,330.6,1.6,1.2,2006-01-13,1408,Aqua,MODIS,58,6.2,304.6,32.4,D,0
13.4105,-14.667,322.7,1.3,1.1,2006-01-13,1408,Aqua,MODIS,52,6.2,304.1,11.7,D,0
13.4085,-14.6792,328.6,1.3,1.2,2006-01-13,1408,Aqua,MODIS,75,6.2,305,21.9,D,0
13.4066,-14.6914,325.2,1.4,1.2,2006-01-13,1408,Aqua,MODIS,59,6.2,304.3,14.8,D,0
13.3283,-14.5343,327.2,1.3,1.1,2006-01-13,1408,Aqua,MODIS,73,6.2,300.2,20.8,D,0
13.3264,-14.5463,350.8,1.3,1.1,2006-01-13,1408,Aqua,MODIS,95,6.2,301.9,79.8,D,0
13.3937,-15.7699,325.3,1.6,1.2,2006-01-13,1408,Aqua,MODIS,24,6.2,305.2,18.8,D,0
13.3687,-15.7738,332.1,1.6,1.2,2006-01-13,1408,Aqua,MODIS,80,6.2,304.5,37.6,D,0
13.3775,-15.7904,342.3,1.6,1.2,2006-01-13,1408,Aqua,MODIS,89,6.2,305.1,70.2,D,0
13.3751,-15.805,326.7,1.6,1.2,2006-01-13,1408,Aqua,MODIS,61,6.2,302.2,28.1,D,0
13.3778,-15.7972,345.4,1.6,1.2,2006-01-13,1408,Aqua,MODIS,91,6.2,303.9,80.3,D,0
13.4229,-15.6403,315.7,1.2,1.1,2006-01-14,1149,Terra,MODIS,47,6.2,301.8,10.1,D,0
13.2978,-15.8927,318,1.2,1.1,2006-01-14,1149,Terra,MODIS,61,6.2,302.9,8.3,D,0
13.2948,-15.9364,361.5,1.2,1.1,2006-01-14,1149,Terra,MODIS,0,6.2,303.8,102.5,D,0
13.309,-15.9018,349.4,1.2,1.1,2006-01-14,1149,Terra,MODIS,95,6.2,305.6,65.4,D,0
13.3866,-15.8071,318,1.2,1.1,2006-01-14,1149,Terra,MODIS,26,6.2,303.6,10.1,D,0
13.4014,-15.7545,315.8,1.2,1.1,2006-01-14,1149,Terra,MODIS,24,6.2,301.8,6.1,D,0
13.3931,-15.5781,318.4,1.2,1.1,2006-01-14,1149,Terra,MODIS,65,6.2,302,10.8,D,0
13.3862,-15.7414,316.2,1.2,1.1,2006-01-14,1149,Terra,MODIS,47,6.2,301.4,9.6,D,0
13.3948,-15.589,318.2,1.2,1.1,2006-01-14,1149,Terra,MODIS,65,6.2,302.6,10.2,D,0
13.2803,-15.9064,341.7,1.2,1.1,2006-01-14,1149,Terra,MODIS,69,6.2,302.2,47.5,D,0
13.2898,-15.9049,336.6,1.2,1.1,2006-01-14,1149,Terra,MODIS,83,6.2,303.5,35.5,D,0
13.3027,-15.9244,375.7,1.2,1.1,2006-01-14,1149,Terra,MODIS,94,6.2,308.2,158.8,D,0
13.2915,-15.9154,360.7,1.2,1.1,2006-01-14,1149,Terra,MODIS,75,6.2,307.2,95.9,D,0
13.3011,-15.9139,360.2,1.2,1.1,2006-01-14,1149,Terra,MODIS,94,6.2,307.5,95.1,D,0
13.3106,-15.9123,338.7,1.2,1.1,2006-01-14,1149,Terra,MODIS,89,6.2,303.5,40.3,D,0
13.2994,-15.9033,328.7,1.2,1.1,2006-01-14,1149,Terra,MODIS,81,6.2,305.2,22.1,D,0
13.3449,-15.8385,327.1,2,1.4,2006-01-14,1451,Aqua,MODIS,77,6.2,305.2,41,D,0
13.3414,-15.8513,324.8,2,1.4,2006-01-14,1451,Aqua,MODIS,69,6.2,305.7,32.7,D,0
13.3437,-15.8327,322.6,2,1.4,2006-01-14,1451,Aqua,MODIS,59,6.2,304.6,27.1,D,0
13.3879,-15.6035,318.8,2.7,1.6,2006-01-15,1356,Aqua,MODIS,48,6.2,303.8,28,D,0
13.4018,-15.6062,326.3,2.7,1.6,2006-01-15,1356,Aqua,MODIS,74,6.2,303.8,62.7,D,0
13.3974,-15.6005,330.5,2.7,1.6,2006-01-15,1356,Aqua,MODIS,80,6.2,304.5,83.1,D,0
13.4979,-14.4746,353.4,2.2,1.4,2006-01-15,1356,Aqua,MODIS,96,6.2,304.7,185.1,D,0
13.4947,-14.4873,328.5,2.2,1.4,2006-01-15,1356,Aqua,MODIS,77,6.2,302.3,53.8,D,0
13.498,-14.4676,350.4,2.2,1.4,2006-01-15,1356,Aqua,MODIS,95,6.2,305.1,165,D,0
13.5394,-14.7102,307.2,1,1,2006-01-15,2323,Terra,MODIS,71,6.2,291.8,7.9,N,0
13.5381,-14.7195,302.3,1,1,2006-01-15,2323,Terra,MODIS,48,6.2,291.7,4.8,N,0
13.4009,-15.5633,301.2,1,1,2006-01-15,2323,Terra,MODIS,30,6.2,290.5,4.4,N,0
13.416,-15.5757,317.5,1,1,2006-01-16,1137,Terra,MODIS,46,6.2,300.5,7.2,D,0
13.1845,-15.8824,359.6,1,1,2006-01-16,1137,Terra,MODIS,99,6.2,304,76.7,D,0
13.4982,-14.0283,318.2,1,1,2006-01-16,1137,Terra,MODIS,54,6.2,304.1,6.3,D,0
13.1832,-15.8731,337.7,1,1,2006-01-16,1137,Terra,MODIS,88,6.2,305,30.1,D,0
13.3726,-15.5915,320.8,1,1,2006-01-16,1137,Terra,MODIS,71,6.2,302.9,9,D,0
13.2348,-16.5529,320.2,1,1,2006-01-16,1137,Terra,MODIS,38,6.2,300.4,10.4,D,0
13.5466,-14.7152,333.3,1,1,2006-01-16,1137,Terra,MODIS,79,6.2,303.1,24.1,D,0
13.5452,-14.706,320.7,1,1,2006-01-16,1137,Terra,MODIS,56,6.2,301.9,9.2,D,0
13.6259,-15.124,318.9,1,1,2006-01-16,1137,Terra,MODIS,33,6.2,301.4,7.5,D,0
13.2198,-16.5709,319.2,1,1,2006-01-16,1137,Terra,MODIS,71,6.2,298.8,10.6,D,0
13.6451,-15.1304,324.8,1,1,2006-01-16,1137,Terra,MODIS,68,6.2,300.5,17,D,0
13.2155,-15.906,320.1,1,1,2006-01-16,1137,Terra,MODIS,71,6.2,300.5,10.8,D,0
13.6348,-15.1226,327.5,1,1,2006-01-16,1137,Terra,MODIS,69,6.2,301.4,17.1,D,0
13.6362,-15.1318,336.8,1,1,2006-01-16,1137,Terra,MODIS,87,6.2,301.3,30.9,D,0
13.3976,-14.4613,322.8,1,1,2006-01-16,1137,Terra,MODIS,72,6.2,298.2,14.8,D,0
13.4996,-14.0378,321.1,1,1,2006-01-16,1137,Terra,MODIS,70,6.2,303,9.1,D,0
13.507,-14.0303,322.1,1,1,2006-01-16,1137,Terra,MODIS,66,6.2,303.9,10.3,D,0
13.1822,-15.8909,326.6,1.2,1.1,2006-01-16,1439,Aqua,MODIS,51,6.2,307.6,13.4,D,0
13.63,-15.1279,328.5,1.4,1.2,2006-01-16,1439,Aqua,MODIS,70,6.2,303,26.8,D,0
13.2456,-16.5517,325.1,1.1,1.1,2006-01-16,1439,Aqua,MODIS,75,6.2,298.6,18.7,D,0
13.5555,-15.6124,320.5,1.3,1.1,2006-01-16,1439,Aqua,MODIS,35,6.2,300.5,11.7,D,0
13.564,-15.6256,324,1.3,1.1,2006-01-16,1439,Aqua,MODIS,60,6.2,302.2,16.4,D,0
13.1989,-15.9159,352.1,1.2,1.1,2006-01-16,1439,Aqua,MODIS,96,6.2,305.7,73.5,D,0
13.1974,-15.927,323.2,1.2,1.1,2006-01-16,1439,Aqua,MODIS,60,6.2,302.2,13.1,D,0
13.2087,-15.9173,340.1,1.2,1.1,2006-01-16,1439,Aqua,MODIS,89,6.2,307.3,44.1,D,0
13.2073,-15.9284,320.9,1.2,1.1,2006-01-16,1439,Aqua,MODIS,52,6.2,303.1,10.5,D,0
13.6353,-15.1342,320.2,1.4,1.2,2006-01-16,1439,Aqua,MODIS,32,6.2,301.7,16,D,0
13.2442,-16.562,341.4,1.1,1.1,2006-01-16,1439,Aqua,MODIS,90,6.2,299.1,45.7,D,0
13.1836,-15.8797,327.4,1.2,1.1,2006-01-16,1439,Aqua,MODIS,60,6.2,310,14.5,D,0
13.1771,-15.8792,314.4,4.2,1.9,2006-01-17,1220,Terra,MODIS,53,6.2,296.8,56.3,D,0
13.184,-15.917,318,4.2,1.9,2006-01-17,1220,Terra,MODIS,65,6.2,295,81.7,D,0
13.1807,-15.8734,314.8,4.2,1.9,2006-01-17,1220,Terra,MODIS,62,6.2,297,62.9,D,0
13.1878,-15.9111,326.3,4.2,1.9,2006-01-17,1220,Terra,MODIS,79,6.2,295.5,152.5,D,0
13.2888,-14.2692,301.4,1,1,2006-01-19,0241,Aqua,MODIS,41,6.2,283.5,7.7,N,0
13.2874,-14.2598,301.6,1,1,2006-01-19,0241,Aqua,MODIS,42,6.2,282.4,7.6,N,0
13.3194,-15.8473,324.5,2.4,1.5,2006-01-19,1208,Terra,MODIS,79,6.2,300.6,55.1,D,0
13.3207,-15.8297,316.8,2.4,1.5,2006-01-19,1208,Terra,MODIS,70,6.2,301.9,27.4,D,0
13.3245,-15.8518,318.6,2.4,1.5,2006-01-19,1208,Terra,MODIS,73,6.2,301.1,32.3,D,0
13.3343,-15.8314,320.1,1.3,1.1,2006-01-20,1414,Aqua,MODIS,19,6.2,302.2,8.8,D,0
13.4972,-15.4067,315.3,1.5,1.2,2006-01-21,1155,Terra,MODIS,43,6.2,298.9,11.6,D,0
13.3334,-15.8332,320.1,2.7,1.6,2006-01-21,1457,Aqua,MODIS,66,6.2,299,33.7,D,0
13.3298,-15.828,321.1,2.7,1.6,2006-01-21,1457,Aqua,MODIS,68,6.2,298.9,37.2,D,0
13.3409,-14.0346,321.7,2.9,1.6,2006-01-22,1100,Terra,MODIS,72,6.2,297.1,60.7,D,0
13.3418,-14.0276,319.8,2.9,1.6,2006-01-22,1100,Terra,MODIS,69,6.2,297.1,48.5,D,0
13.3448,-14.0543,313.1,2.9,1.6,2006-01-22,1100,Terra,MODIS,26,6.2,296.2,22.9,D,0
13.3379,-14.0661,322.3,1.6,1.2,2006-01-22,1402,Aqua,MODIS,62,6.2,305.4,15.2,D,0
13.3619,-14.0433,317.9,1.2,1.1,2006-01-23,1143,Terra,MODIS,62,6.2,294.5,11.1,D,0
13.2108,-15.9317,327.8,1,1,2006-01-23,1143,Terra,MODIS,80,6.2,298.1,17.1,D,0
13.5154,-15.812,321.4,1,1,2006-01-23,1143,Terra,MODIS,74,6.2,299.3,11.4,D,0
13.283,-16.5975,313.4,1,1,2006-01-23,1143,Terra,MODIS,22,6.2,297.3,5.7,D,0
13.1956,-15.9531,325.3,1,1,2006-01-23,1143,Terra,MODIS,78,6.2,300.9,14.6,D,0
13.3637,-14.0384,344.5,2.1,1.4,2006-01-23,1445,Aqua,MODIS,91,6.2,306.7,115.6,D,0
13.324,-14.2387,321.6,2,1.4,2006-01-23,1445,Aqua,MODIS,32,6.2,302.6,22.7,D,0
13.3592,-14.0771,324.9,2.1,1.4,2006-01-23,1445,Aqua,MODIS,64,6.2,304,32.6,D,0
13.514,-15.82,325,1.6,1.2,2006-01-23,1445,Aqua,MODIS,68,6.2,305.2,19.8,D,0
13.1992,-15.96,324.8,1.5,1.2,2006-01-23,1445,Aqua,MODIS,38,6.2,305.2,16.6,D,0
13.2086,-15.9556,333.6,1.5,1.2,2006-01-23,1445,Aqua,MODIS,81,6.2,304.4,36.7,D,0
13.1868,-15.9527,337.5,1.5,1.2,2006-01-23,1445,Aqua,MODIS,85,6.2,305.5,47.9,D,0
13.3626,-14.0308,328.7,2.1,1.4,2006-01-23,1445,Aqua,MODIS,74,6.2,306.5,39.9,D,0
13.3602,-14.0503,355.3,2.1,1.4,2006-01-23,1445,Aqua,MODIS,97,6.2,306.3,182.4,D,0
13.3614,-14.0578,339.6,2.1,1.4,2006-01-23,1445,Aqua,MODIS,87,6.2,305.4,90.8,D,0
13.3578,-14.0696,322.4,2.1,1.4,2006-01-23,1445,Aqua,MODIS,42,6.2,303.9,22.1,D,0
13.5376,-15.8135,329.8,3.6,1.8,2006-01-24,1350,Aqua,MODIS,81,6.2,294,142.2,D,0
13.5451,-15.8102,327.1,3.6,1.8,2006-01-24,1350,Aqua,MODIS,78,6.2,291.8,117.2,D,0
13.5541,-15.7956,320.3,1.1,1.1,2006-01-25,1131,Terra,MODIS,44,6.2,302.1,11.2,D,0
13.5058,-15.2517,328,1.1,1,2006-01-25,1131,Terra,MODIS,78,6.2,303.4,17.9,D,0
13.4278,-15.2331,335.9,1.1,1,2006-01-25,1131,Terra,MODIS,86,6.2,301.4,30.2,D,0
13.4876,-15.2599,333.1,1.1,1,2006-01-25,1433,Aqua,MODIS,74,6.2,306.3,20.2,D,0
13.4056,-15.252,332.9,1.1,1,2006-01-25,1433,Aqua,MODIS,79,6.2,307.1,19.5,D,0
13.4164,-15.2432,325.5,1.1,1,2006-01-25,1433,Aqua,MODIS,27,6.2,308.3,9.4,D,0
13.6005,-15.3605,330.9,1.1,1,2006-01-25,1433,Aqua,MODIS,0,6.2,302.5,23.9,D,0
13.5498,-15.8057,325.7,1.1,1,2006-01-25,1433,Aqua,MODIS,55,6.2,309.4,9.9,D,0
13.5077,-15.2525,329,1.1,1.1,2006-01-25,1433,Aqua,MODIS,69,6.2,310,15.7,D,0
13.4983,-15.2511,339.2,1.1,1.1,2006-01-25,1433,Aqua,MODIS,86,6.2,310.1,30.1,D,0
13.4889,-15.2498,392.9,1.1,1.1,2006-01-25,1433,Aqua,MODIS,100,6.2,313.5,229.4,D,0
13.5511,-15.796,327.1,1.1,1,2006-01-25,1433,Aqua,MODIS,32,6.2,308.3,12.9,D,0
13.4664,-16.6267,312.3,1,1,2006-01-26,0247,Aqua,MODIS,85,6.2,291.3,11.3,N,0
13.4678,-16.6359,320.3,1,1,2006-01-26,0247,Aqua,MODIS,100,6.2,291.1,18.2,N,0
13.5603,-15.7808,301.1,1,1,2006-01-26,0247,Aqua,MODIS,38,6.2,289.8,4.7,N,0
13.3908,-14.6561,313.3,1.4,1.2,2006-01-27,1119,Terra,MODIS,57,6.2,279.2,17.3,D,0
13.5192,-14.9368,306.3,1.5,1.2,2006-01-27,1119,Terra,MODIS,51,6.2,276.6,9.9,D,0
13.388,-16.1478,322.4,1.1,1,2006-01-27,1421,Aqua,MODIS,60,6.2,306.1,11.9,D,0
13.4657,-16.6427,303.7,1.7,1.3,2006-01-27,2347,Terra,MODIS,57,6.2,290.1,13.6,N,0
13.7276,-14.9121,306.3,1,1,2006-01-28,0235,Aqua,MODIS,53,6.2,283.8,9.1,N,0
13.7262,-14.9027,311.2,1,1,2006-01-28,0235,Aqua,MODIS,73,6.2,283.7,12.7,N,0
13.5161,-14.8035,318.8,2.5,1.5,2006-01-29,1106,Terra,MODIS,29,6.2,301.9,29.2,D,0
13.5112,-14.8208,317.4,2.5,1.5,2006-01-29,1106,Terra,MODIS,50,6.2,301.9,27.5,D,0
13.5085,-14.7972,319.3,2.5,1.5,2006-01-29,1106,Terra,MODIS,66,6.2,301.9,35,D,0
13.5023,-14.8051,318.8,2.5,1.5,2006-01-29,1106,Terra,MODIS,53,6.2,302,29.9,D,0
13.5036,-14.8015,342.6,1.4,1.2,2006-01-29,1408,Aqua,MODIS,90,6.2,305.8,54.2,D,0
13.4755,-15.3541,328.8,2.5,1.5,2006-01-31,1356,Aqua,MODIS,0,6.2,307,73.3,D,0
13.4366,-15.5072,320.1,1,1,2006-02-01,1137,Terra,MODIS,41,6.2,305,7.6,D,0
13.4227,-15.5373,324,1,1,2006-02-01,1137,Terra,MODIS,68,6.2,303.9,10.6,D,0
13.4214,-15.5281,343.6,1,1,2006-02-01,1137,Terra,MODIS,90,6.2,306.6,38.2,D,0
13.2978,-16.7777,325,1.1,1,2006-02-01,1137,Terra,MODIS,72,6.2,302.5,14.9,D,0
13.3945,-15.3455,321.9,1,1,2006-02-01,1137,Terra,MODIS,62,6.2,307.9,6.5,D,0
13.6514,-15.3447,336.5,1.3,1.1,2006-02-01,1439,Aqua,MODIS,70,6.2,307,37.7,D,0
13.4146,-14.6285,313.9,1.4,1.2,2006-02-02,0253,Aqua,MODIS,83,6.2,286.1,20.2,N,0
13.4938,-15.7369,323.3,1.4,1.2,2006-02-03,1125,Terra,MODIS,47,6.2,301.9,20.5,D,0
13.4922,-15.7246,323.7,1.3,1.2,2006-02-03,1125,Terra,MODIS,36,6.2,299.7,21.1,D,0
13.3456,-14.1793,336,1.1,1,2006-02-03,1427,Aqua,MODIS,80,6.2,312.2,23.2,D,0
13.1602,-15.9509,329.8,1,1,2006-02-03,1427,Aqua,MODIS,23,6.2,311.8,9.3,D,0
13.3811,-16.4605,329.7,1,1,2006-02-03,1427,Aqua,MODIS,69,6.2,310.3,15.1,D,0
13.3773,-16.7363,321.5,1,1,2006-02-03,1427,Aqua,MODIS,35,6.2,308.1,6.9,D,0
13.5538,-14.8368,300.3,1,1,2006-02-04,0241,Aqua,MODIS,20,6.2,287.9,5.3,N,0
13.3619,-15.7461,335.1,2.5,1.5,2006-02-04,1208,Terra,MODIS,85,6.2,299.9,98.8,D,0
13.3658,-15.7685,323.9,2.5,1.5,2006-02-04,1208,Terra,MODIS,61,6.2,300.1,45.3,D,0
13.3158,-15.8992,329.3,2.3,1.5,2006-02-05,1113,Terra,MODIS,78,6.2,300.5,62.4,D,0
13.2756,-14.2075,322.3,1.7,1.3,2006-02-05,1113,Terra,MODIS,67,6.2,305.4,12.4,D,0
13.3132,-15.8779,320.2,2.3,1.5,2006-02-05,1113,Terra,MODIS,41,6.2,298.7,26.4,D,0
13.2736,-14.1917,322.8,1.7,1.3,2006-02-05,1113,Terra,MODIS,68,6.2,307.4,14.9,D,0
13.1628,-16.1817,332,1.4,1.2,2006-02-05,1414,Aqua,MODIS,78,6.2,307.8,29.2,D,0
13.32,-15.9047,327.3,1.3,1.1,2006-02-05,1414,Aqua,MODIS,55,6.2,311,13.5,D,0
13.33,-15.9064,334.6,1.3,1.1,2006-02-05,1414,Aqua,MODIS,70,6.2,309.5,28,D,0
13.3152,-14.3427,329.1,1.1,1,2006-02-05,1414,Aqua,MODIS,56,6.2,309.1,15.5,D,0
